Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
620000,1.4169363,0.0,249.0,-0.026939224,0.0
630000,1.4173262,0.024390243902439025,245.02439024390245,-0.022661606,0.024390243902439025
640000,1.4173262,0.0,249.0,-0.034140512,0.0
650000,1.4173262,0.07317073170731707,238.0731707317073,-0.048618086,0.07317073170731707
660000,1.4173262,0.0,249.0,-0.043091767,0.0
670000,1.4173262,0.0,249.0,-0.03353364,0.0
680000,1.4173262,0.0,249.0,-0.026241437,0.0
690000,1.4173262,0.0,249.0,-0.024677102,0.0
700000,1.4173263,0.024390243902439025,245.390243902439,-0.041792985,0.024390243902439025
710000,1.4173262,0.0,249.0,-0.026126504,0.0
720000,1.4173262,0.0,249.0,-0.023092473,0.0
730000,1.4173262,0.0,249.0,-0.033014882,0.0
740000,1.4173262,0.0,249.0,-0.049531765,0.0
750000,1.4173262,0.0,249.0,-0.042605016,0.0
760000,1.4173262,0.0,249.0,-0.028381636,0.0
770000,1.4173262,0.0,249.0,-0.015653888,0.0
780000,1.4173262,0.0,249.0,-0.0035296925,0.0
790000,1.4173262,0.0,249.0,-0.032014422,0.0
800000,1.4173262,0.0,249.0,-0.036794275,0.0
810000,1.4173262,0.0,249.0,-0.034842342,0.0
820000,1.4173263,0.0,249.0,-0.04652385,0.0
830000,1.4176028,0.0,249.0,-0.04504516,0.0
840000,1.4176028,0.0,249.0,-0.0152953565,0.0
850000,1.4176028,0.0,249.0,-0.015157344,0.0
860000,1.4176028,0.0,249.0,-0.023076685,0.0
870000,1.4176028,0.024390243902439025,244.78048780487805,-0.018941188,0.024390243902439025
880000,1.4176028,0.0,249.0,-0.0014190853,0.0
890000,1.4176028,0.0,249.0,-0.0076892427,0.0
900000,1.4176028,0.04878048780487805,240.29268292682926,-0.026280988,0.04878048780487805
910000,1.4176028,0.0,249.0,-0.032785702,0.0
920000,1.4176028,0.0,249.0,-0.021179114,0.0
930000,1.4176028,0.0,249.0,-0.038840406,0.0
940000,1.4176029,0.0,249.0,-0.006344679,0.0
950000,1.4176028,0.0,249.0,-0.03604284,0.0
960000,1.4176028,0.0,249.0,-0.027151957,0.0
970000,1.4176028,0.0,249.0,-0.018409302,0.0
980000,1.4176028,0.024390243902439025,242.9268292682927,-0.030161152,0.024390243902439025
990000,1.4176028,0.0,249.0,-0.04016603,0.0
1000000,1.4176028,0.0,249.0,-0.03899657,0.0
1010000,1.4176028,0.0,249.0,-0.03208615,0.0
1020000,1.4176028,0.0,249.0,-0.012832838,0.0
1030000,1.417806,0.024390243902439025,244.53658536585365,-0.022273008,0.024390243902439025
1040000,1.4179986,0.0,249.0,-0.017606147,0.0
1050000,1.4179986,0.025,245.45,-0.012103466,0.0
1060000,1.4179984,0.0,249.0,-0.008882575,0.025
1070000,1.4179984,0.0,249.0,-0.017380346,0.0
1080000,1.4179986,0.0,249.0,-0.023714963,0.0
1090000,1.4179986,0.0,249.0,-0.029364679,0.0
1100000,1.4179986,0.024390243902439025,243.58536585365854,-0.016496021,0.024390243902439025
1110000,1.4179986,0.0,249.0,-0.020938173,0.0
1120000,1.4179986,0.0,249.0,-0.008997479,0.0
1130000,1.4179986,0.0,249.0,-0.035036445,0.0
1140000,1.4179984,0.024390243902439025,244.3170731707317,-0.022434987,0.024390243902439025
1150000,1.4179984,0.023809523809523808,244.97619047619048,-0.01896854,0.024390243902439025
1160000,1.4179986,0.0,249.0,-0.02271811,0.0
1170000,1.4179986,0.024390243902439025,242.9268292682927,-0.03643533,0.024390243902439025
1180000,1.4179986,0.0,249.0,-0.029649163,0.0
1190000,1.4179986,0.024390243902439025,242.9268292682927,-0.0422616,0.024390243902439025
1200000,1.4179986,0.0,249.0,-0.027954478,0.0
1210000,1.4179984,0.0,249.0,-0.031837653,0.0
1220000,1.4179986,0.024390243902439025,243.46341463414635,-0.0103291245,0.024390243902439025
1230000,1.4180028,0.0,249.0,-0.014783673,0.0
1240000,1.4180814,0.024390243902439025,243.26829268292684,-0.020479642,0.024390243902439025
1250000,1.4180814,0.025,246.1,-0.030095145,0.025
1260000,1.4180814,0.0,249.0,-0.019409306,0.0
1270000,1.4180814,0.0,249.0,-0.02177405,0.0
1280000,1.4180814,0.0,249.0,-0.033178367,0.0
1290000,1.4180814,0.024390243902439025,243.21951219512195,-0.03316738,0.024390243902439025
1300000,1.4180814,0.0,249.0,-0.037694007,0.0
1310000,1.4180814,0.025,248.45,-0.027937284,0.025
1320000,1.4180814,0.0,249.0,-0.02221286,0.0
1330000,1.4180814,0.0,249.0,-0.03483907,0.0
1340000,1.4180814,0.0,249.0,-0.034948833,0.0
1350000,1.4180814,0.0,249.0,-0.030407926,0.0
1360000,1.4180814,0.0,249.0,-0.05414925,0.0
1370000,1.4180815,0.0,249.0,-0.024237623,0.0
1380000,1.4180814,0.024390243902439025,244.82926829268294,-0.026794787,0.024390243902439025
1390000,1.4180814,0.0,249.0,-0.030131329,0.0
1400000,1.4180814,0.024390243902439025,243.97560975609755,-0.012835093,0.024390243902439025
1410000,1.4180814,0.0,249.0,-0.030063516,0.0
1420000,1.4180814,0.0,249.0,-0.016575769,0.0
1430000,1.4180814,0.0,249.0,-0.021638706,0.0
1440000,1.4184691,0.0,249.0,-0.038905762,0.0
1450000,1.4188429,0.0,249.0,-0.0239998,0.0
1460000,1.4188429,0.025,243.725,-0.017525718,0.025
1470000,1.4188429,0.047619047619047616,238.73809523809524,-0.038037878,0.047619047619047616
