Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
8470000,1.4422188,0.39800000593066215,199.0,0.6359329,0.398000068962574
8480000,1.4422188,0.1980000026524067,197.32,0.629637,0.19800003826618195
8490000,1.4422188,0.020000000298023225,199.0,0.5354458,0.020000000298023225
8500000,1.4422188,0.4803921637289664,196.45098039215685,0.6742853,0.4803922150064917
8510000,1.4422188,0.00800000011920929,199.0,0.5118115,0.00800000011920929
8520000,1.4422188,0.41600000619888305,199.0,0.7531031,0.41600004583597183
8530000,1.4422188,0.186000002771616,199.0,0.559246,0.18200000017881393
8540000,1.4422187,0.020000000298023225,199.0,0.51089674,0.02400000035762787
8550000,1.4422188,0.00800000011920929,199.0,0.5245993,0.00800000011920929
8560000,1.4422188,0.9520000138878822,197.06,0.87188375,0.9520001414418221
8570000,1.4422189,0.2254901991463175,197.41176470588235,0.6408728,0.2254902784730874
8580000,1.4422188,0.09400000140070915,199.0,0.57462233,0.09400000005960464
8590000,1.4422188,1.6803921813181801,193.4313725490196,1.3387432,1.680392364660899
8600000,1.4422188,0.02400000035762787,199.0,0.54941446,0.020000000298023225
8610000,1.4422704,0.9240000134706498,197.52,0.98272294,0.9280001491308212
8620000,1.4424038,0.0784313734255585,196.27450980392157,0.6034145,0.07450980415531233
8630000,1.4424038,0.00800000011920929,199.0,0.5055001,0.012000000178813934
8640000,1.4424038,0.8780000130832195,199.0,0.813603,0.878000108897686
8650000,1.4424038,0.34117647537998125,196.52941176470588,0.69111234,0.34117648589844796
8660000,1.4424038,0.00800000011920929,199.0,0.50876117,0.00800000011920929
8670000,1.4424038,0.00800000011920929,199.0,0.51594603,0.00800000011920929
8680000,1.4424038,0.5440000081062317,199.0,0.5875856,0.5440000385046005
8690000,1.4424038,0.366000005453825,199.0,0.6164275,0.36600003063678743
8700000,1.4424038,1.1460000170767308,199.0,0.8853452,0.8260000854730606
8710000,1.4424038,0.3020000045001507,199.0,0.8800306,0.6220000439882278
8720000,1.4424038,0.02400000035762787,199.0,0.49849284,0.02400000035762787
8730000,1.4424039,0.5140000073611737,196.14,0.72674483,0.5140000402927398
8740000,1.4424038,0.015686274743547626,199.0,0.4950247,0.01600000023841858
8750000,1.4424038,0.4080000057816505,197.56,0.6598642,0.40000003021137387
8760000,1.4424038,0.7840000116825103,199.0,0.84081346,0.784000107049942
8770000,1.4424037,0.00800000011920929,199.0,0.5169756,0.00800000011920929
8780000,1.4424038,0.30600000455975535,199.0,0.5809231,0.30600002318620684
8790000,1.4424038,0.02400000035762787,199.0,0.49638999,0.02400000035762787
8800000,1.4424038,0.9078431504906392,195.5686274509804,1.0576862,0.9078432409202352
8810000,1.4424037,0.01600000023841858,199.0,0.5001605,0.01600000023841858
8820000,1.4425215,0.20800000339746474,196.68,0.6555531,0.20800003468990325
8830000,1.4425528,0.4215686334406628,197.5686274509804,0.6399571,0.37254909089967314
8840000,1.4425528,0.5411764777758542,193.11764705882354,0.81070554,0.5901961291537565
8850000,1.4425528,0.17400000259280204,199.0,0.56349957,0.17400000780820846
8860000,1.4425528,0.5080000075697899,199.0,0.750573,0.5080000764131546
8870000,1.4425528,0.09200000137090683,199.0,0.49142283,0.09200000017881393
8880000,1.4425528,0.3686274564733692,199.0,0.6848209,0.37600003063678744
8890000,1.4425528,1.4408163480004486,199.0,1.0230033,1.412000167965889
8900000,1.4425528,0.29019608246345147,196.90196078431373,0.6278206,0.29019609356627746
8910000,1.4425529,0.01600000023841858,199.0,0.49910927,0.01600000023841858
8920000,1.4425528,0.028000000417232513,199.0,0.48311543,0.028000000417232513
8930000,1.4425528,0.8500000123679637,198.1,0.79743654,0.8500001183152199
8940000,1.4425528,0.020000000298023225,199.0,0.4774145,0.01600000023841858
8950000,1.4425528,0.7431372662677485,195.94117647058823,0.8381001,0.7470589583995295
8960000,1.4425528,0.614000009149313,199.0,0.63587075,0.6140000918507575
8970000,1.4425528,0.2080000028014183,197.26,0.5881601,0.20800002306699752
8980000,1.4425528,0.01600000023841858,199.0,0.48393276,0.01600000023841858
8990000,1.4425529,0.6480000096559525,199.0,0.6917818,0.6480000802874565
9000000,1.4425528,0.00800000011920929,199.0,0.48607352,0.00800000011920929
9010000,1.4425528,0.372000005543232,199.0,0.6460672,0.3720000612735748
9020000,1.4425024,1.2058823706180442,197.31372549019608,0.9992153,1.2058825215288238
