Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
66040000,0.86231863,0.5066666666666667,132.16,0.81150204,0.5066666666666667,0.003152628,0.08232889,9.999998e-06
66050000,0.86220926,0.5526315789473685,129.8421052631579,0.7930102,0.5526315789473685,0.0016144095,0.07558569,9.999999e-06
66060000,0.86201173,0.5,132.71052631578948,0.77290225,0.5,0.0014799823,0.07240341,9.999999e-06
66070000,0.8620507,0.5277777777777778,135.65277777777777,0.7528493,0.5277777777777778,0.004884178,0.07024275,9.999998e-06
66080000,0.86177605,0.5194805194805194,128.67532467532467,0.7588526,0.5194805194805194,0.0024810063,0.077165894,9.999998e-06
66090000,0.86170244,0.5,136.1216216216216,0.7499695,0.5,0.002826854,0.07452919,9.999998e-06
66100000,0.8617427,0.49295774647887325,139.67605633802816,0.77013534,0.49295774647887325,0.0015889837,0.07906652,9.999999e-06
66110000,0.8615038,0.5405405405405406,132.51351351351352,0.7725821,0.527027027027027,0.0023157643,0.08350108,9.999999e-06
66120000,0.8613755,0.4931506849315068,135.58904109589042,0.76683456,0.4931506849315068,0.0017236978,0.07246111,9.999998e-06
66130000,0.86152226,0.527027027027027,134.59459459459458,0.78331655,0.527027027027027,0.0021927007,0.069562286,9.999999e-06
66140000,0.8613511,0.4864864864864865,135.93243243243242,0.7784187,0.5,0.0018599009,0.07795643,1e-05
66150000,0.8612606,0.42028985507246375,144.5072463768116,0.7383357,0.4117647058823529,0.00315028,0.06993737,1e-05
66160000,0.86158824,0.4473684210526316,127.84210526315789,0.714224,0.45454545454545453,0.0033411074,0.07465646,1e-05
66170000,0.8616342,0.4868421052631579,131.01315789473685,0.7332018,0.4868421052631579,0.007146729,0.0772321,9.999999e-06
66180000,0.8613138,0.5128205128205128,127.66666666666667,0.74855846,0.5128205128205128,0.0026290163,0.06827382,9.999998e-06
66190000,0.8611391,0.4383561643835616,136.7123287671233,0.68130124,0.4246575342465753,0.003691824,0.08262708,9.999999e-06
66200000,0.86099297,0.5066666666666667,131.84,0.69915545,0.52,0.0014773259,0.084654704,9.999998e-06
66210000,0.8606122,0.4583333333333333,138.05555555555554,0.6739738,0.4583333333333333,0.0019683456,0.07660791,9.999999e-06
66220000,0.86027455,0.5405405405405406,132.93243243243242,0.72303545,0.527027027027027,0.0016838382,0.079772085,9.999998e-06
66230000,0.8600448,0.4868421052631579,132.6578947368421,0.7271797,0.5,0.0025096112,0.07536321,9.999999e-06
66240000,0.8598791,0.4794520547945205,135.5068493150685,0.705525,0.4794520547945205,0.0012118068,0.071438044,9.999998e-06
66250000,0.859789,0.5352112676056338,138.5211267605634,0.7348841,0.5352112676056338,0.0013553274,0.06859237,9.999999e-06
66260000,0.85986423,0.5,138.22222222222223,0.71568054,0.4788732394366197,0.0027481401,0.07462856,9.999999e-06
66270000,0.8599514,0.4857142857142857,141.85714285714286,0.749271,0.5,0.0019690392,0.07686363,9.999998e-06
66280000,0.8597123,0.527027027027027,133.45945945945945,0.762827,0.5333333333333333,0.001619182,0.07612615,9.999999e-06
66290000,0.85940254,0.5,132.4078947368421,0.7448816,0.5,0.00245678,0.07730548,9.999999e-06
66300000,0.8593622,0.5342465753424658,134.15068493150685,0.7740397,0.5342465753424658,0.0015677597,0.075036556,9.999999e-06
66310000,0.85932976,0.4868421052631579,131.0921052631579,0.77548474,0.47368421052631576,0.0028535533,0.072358124,9.999998e-06
