Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
500000,1.4158362,0.0009999999776482583,249.0,-0.06421392,0.0009999999776482583
510000,1.4158362,0.02474999944679439,249.0,-0.046096206,0.024749997723847627
520000,1.4158362,0.04849999891594052,249.0,-0.080578126,0.02449999749660492
530000,1.4158362,0.04874999891035259,249.0,-0.07582472,0.07274999194778502
540000,1.4158362,0.025499999430030583,249.0,-0.062336326,0.02549999747425318
550000,1.4158362,0.0004999999888241291,249.0,-0.055486895,0.0004999999888241291
560000,1.4158362,0.0012499999720603228,249.0,-0.07478786,0.0012499999720603228
570000,1.4158362,0.0009999999776482583,249.0,-0.092819676,0.0009999999776482583
580000,1.4158362,0.0,249.0,-0.08932657,0.0
590000,1.4158362,0.0,249.0,-0.06337144,0.0
600000,1.4158362,0.0014999999664723873,249.0,-0.046331935,0.0014999999664723873
610000,1.4158362,0.0019999999552965165,249.0,-0.044525005,0.0019999999552965165
620000,1.4158639,0.0024999999441206455,249.0,-0.06888814,0.0024999999441206455
630000,1.4158967,0.0024999999441206455,249.0,-0.08043051,0.0024999999441206455
640000,1.4158967,0.0,249.0,-0.0620682,0.0
650000,1.4158967,0.004249999905005098,249.0,-0.06520098,0.004250000137835741
660000,1.4158967,0.0019999999552965165,249.0,-0.08192895,0.0019999999552965165
670000,1.4158965,0.0014999999664723873,249.0,-0.092613675,0.0014999999664723873
680000,1.4158967,0.0019999999552965165,249.0,-0.09121213,0.0019999999552965165
690000,1.4158967,0.0024999999441206455,249.0,-0.10313859,0.0024999999441206455
700000,1.4158967,0.0007499999832361936,249.0,-0.07229103,0.0007499999832361936
710000,1.4158967,0.0009999999776482583,249.0,-0.10444276,0.0004999999888241291
720000,1.4158965,0.0004999999888241291,249.0,-0.09665857,0.0009999999776482583
730000,1.4158967,0.0009999999776482583,249.0,-0.103411674,0.0009999999776482583
740000,1.4158967,0.0029999999329447745,249.0,-0.10541179,0.0029999999329447745
750000,1.4158967,0.0014999999664723873,249.0,-0.085102126,0.0014999999664723873
760000,1.4158967,0.0014999999664723873,249.0,-0.081298135,0.0014999999664723873
770000,1.4158967,0.0009999999776482583,249.0,-0.08142735,0.0009999999776482583
780000,1.4158965,0.0004999999888241291,249.0,-0.07937183,0.0004999999888241291
790000,1.4158967,0.0004999999888241291,249.0,-0.11145885,0.0004999999888241291
800000,1.4158967,0.0004878048671454918,249.0,-0.10973479,0.0
810000,1.4158967,0.0005128205013580811,249.0,-0.08993622,0.0009999999776482583
820000,1.4159261,0.0004999999888241291,249.0,-0.087136604,0.0004999999888241291
830000,1.4166889,0.0,249.0,-0.066421054,0.0
840000,1.4166889,0.0,249.0,-0.08031641,0.0
850000,1.4166888,0.0004999999888241291,249.0,-0.08273808,0.0004999999888241291
860000,1.4166889,0.0004999999888241291,249.0,-0.048393995,0.0004999999888241291
870000,1.4166889,0.0,249.0,-0.07082655,0.0
880000,1.4166889,0.0,249.0,-0.06588392,0.0
890000,1.4166889,0.0004999999888241291,249.0,-0.07541984,0.0004999999888241291
900000,1.4166889,0.0,249.0,-0.06359583,0.0
